customer_id,customer_name,country,customer_segment,signup_date
CUST000001,Customer 1,Singapore,Enterprise,2024-01-21
CUST000002,Customer 2,Philippines,Enterprise,2025-04-22
CUST000003,Customer 3,Singapore,Enterprise,2025-03-22
CUST000004,Customer 4,India,Consumer,2026-05-21
CUST000005,Customer 5,India,SMB,2023-11-15
CUST000006,Customer 6,Indonesia,SMB,2024-10-08
CUST000007,Customer 7,New Zealand,SMB,2024-08-08
CUST000008,Customer 8,Australia,Enterprise,2025-06-19
CUST000009,Customer 9,Singapore,SMB,2022-09-21
CUST000010,Customer 10,India,SMB,2026-08-08
CUST000011,Customer 11,Singapore,Enterprise,2023-03-14
CUST000012,Customer 12,Philippines,Enterprise,2026-08-07
CUST000013,Customer 13,Australia,Consumer,2025-02-04
CUST000014,Customer 14,Indonesia,SMB,2025-03-04
CUST000015,Customer 15,Australia,SMB,2024-10-02
CUST000016,Customer 16,India,Consumer,2024-11-20
CUST000017,Customer 17,Singapore,SMB,2022-12-01
CUST000018,Customer 18,Philippines,Enterprise,2023-02-03
CUST000019,Customer 19,India,SMB,2022-03-18
CUST000020,Customer 20,India,Consumer,2022-10-21
CUST000021,Customer 21,New Zealand,Enterprise,2022-07-30
CUST000022,Customer 22,Philippines,Enterprise,2022-01-26
CUST000023,Customer 23,Indonesia,Enterprise,2022-10-27
CUST000024,Customer 24,Australia,SMB,2025-04-27
CUST000025,Customer 25,New Zealand,Consumer,2025-10-26
CUST000026,Customer 26,New Zealand,SMB,2025-05-08
CUST000027,Customer 27,Indonesia,SMB,2025-08-29
CUST000028,Customer 28,Indonesia,SMB,2023-05-15
CUST000029,Customer 29,India,Enterprise,2024-07-07
CUST000030,Customer 30,New Zealand,SMB,2023-10-07
CUST000031,Customer 31,Singapore,Enterprise,2021-12-24
CUST000032,Customer 32,Philippines,Consumer,2025-06-18
CUST000033,Customer 33,Philippines,Consumer,2024-09-24
CUST000034,Customer 34,India,Enterprise,2026-09-03
CUST000035,Customer 35,India,Consumer,2022-07-20
CUST000036,Customer 36,Malaysia,SMB,2023-11-21
CUST000037,Customer 37,New Zealand,SMB,2024-09-02
CUST000038,Customer 38,New Zealand,SMB,2022-11-28
CUST000039,Customer 39,Philippines,Enterprise,2026-07-08
CUST000040,Customer 40,Singapore,Enterprise,2025-08-16
CUST000041,Customer 41,Malaysia,Consumer,2025-10-19
CUST000042,Customer 42,Philippines,Consumer,2022-01-22
CUST000043,Customer 43,New Zealand,Enterprise,2024-02-27
CUST000044,Customer 44,Australia,Consumer,2023-04-15
CUST000045,Customer 45,Australia,Consumer,2024-07-09
CUST000046,Customer 46,Indonesia,Enterprise,2023-08-07
CUST000047,Customer 47,Australia,Consumer,2024-11-15
CUST000048,Customer 48,Philippines,Enterprise,2026-03-12
CUST000049,Customer 49,Indonesia,Enterprise,2024-09-07
CUST000050,Customer 50,Indonesia,SMB,2025-06-15
CUST000051,Customer 51,Philippines,Enterprise,2026-09-17
CUST000052,Customer 52,New Zealand,Enterprise,2023-11-07
CUST000053,Customer 53,New Zealand,SMB,2026-01-01
CUST000054,Customer 54,Malaysia,SMB,2023-08-03
CUST000055,Customer 55,Indonesia,Enterprise,2025-08-06
CUST000056,Customer 56,Philippines,Enterprise,2023-05-10
CUST000057,Customer 57,India,Consumer,2025-12-27
CUST000058,Customer 58,Singapore,Enterprise,2026-09-09
CUST000059,Customer 59,Philippines,Enterprise,2025-06-27
CUST000060,Customer 60,Indonesia,Consumer,2022-02-09
CUST000061,Customer 61,Singapore,SMB,2023-08-29
CUST000062,Customer 62,Indonesia,Enterprise,2026-07-01
CUST000063,Customer 63,Singapore,Enterprise,2021-11-13
CUST000064,Customer 64,Indonesia,Consumer,2022-01-22
CUST000065,Customer 65,Singapore,Consumer,2025-12-14
CUST000066,Customer 66,Philippines,Enterprise,2024-08-08
CUST000067,Customer 67,Malaysia,Consumer,2025-01-07
CUST000068,Customer 68,Singapore,Enterprise,2026-07-27
CUST000069,Customer 69,India,Consumer,2025-08-02
CUST000070,Customer 70,New Zealand,Enterprise,2022-11-12
CUST000071,Customer 71,Malaysia,Consumer,2024-04-11
CUST000072,Customer 72,Malaysia,SMB,2025-02-13
CUST000073,Customer 73,Philippines,Enterprise,2023-06-09
CUST000074,Customer 74,Indonesia,Consumer,2024-05-05
CUST000075,Customer 75,Indonesia,Enterprise,2024-08-07
CUST000076,Customer 76,Philippines,Enterprise,2024-09-29
CUST000077,Customer 77,Indonesia,Enterprise,2022-01-08
CUST000078,Customer 78,Singapore,Consumer,2026-07-01
CUST000079,Customer 79,Australia,Enterprise,2026-06-28
CUST000080,Customer 80,Indonesia,Enterprise,2026-03-03
CUST000081,Customer 81,Singapore,Consumer,2026-02-14
CUST000082,Customer 82,Malaysia,Enterprise,2024-04-24
CUST000083,Customer 83,Singapore,Enterprise,2023-12-31
CUST000084,Customer 84,Singapore,SMB,2026-02-13
CUST000085,Customer 85,Philippines,SMB,2026-06-09
CUST000086,Customer 86,Malaysia,Enterprise,2022-09-26
CUST000087,Customer 87,Indonesia,SMB,2025-06-17
CUST000088,Customer 88,Philippines,Consumer,2026-07-02
CUST000089,Customer 89,India,Enterprise,2025-10-26
CUST000090,Customer 90,Australia,SMB,2026-05-18
CUST000091,Customer 91,New Zealand,SMB,2024-01-18
CUST000092,Customer 92,Australia,SMB,2022-05-07
CUST000093,Customer 93,Philippines,Enterprise,2026-04-24
CUST000094,Customer 94,Malaysia,Consumer,2021-11-29
CUST000095,Customer 95,New Zealand,Consumer,2022-08-02
CUST000096,Customer 96,Philippines,Enterprise,2023-10-12
CUST000097,Customer 97,India,Consumer,2023-07-12
CUST000098,Customer 98,India,SMB,2024-01-02
CUST000099,Customer 99,Indonesia,Enterprise,2024-07-04
CUST000100,Customer 100,Indonesia,Consumer,2025-10-16
CUST000101,Customer 101,New Zealand,Enterprise,2025-03-31
CUST000102,Customer 102,Australia,Consumer,2023-12-09
CUST000103,Customer 103,Indonesia,Consumer,2022-04-25
CUST000104,Customer 104,India,Enterprise,2026-09-06
CUST000105,Customer 105,Singapore,Consumer,2021-11-01
CUST000106,Customer 106,Malaysia,Consumer,2023-11-13
CUST000107,Customer 107,Philippines,Consumer,2023-04-28
CUST000108,Customer 108,New Zealand,SMB,2025-07-31
CUST000109,Customer 109,Indonesia,Consumer,2024-09-07
CUST000110,Customer 110,India,SMB,2025-06-30
CUST000111,Customer 111,New Zealand,SMB,2024-01-01
CUST000112,Customer 112,New Zealand,Consumer,2022-02-27
CUST000113,Customer 113,Malaysia,Enterprise,2023-10-30
CUST000114,Customer 114,Australia,Consumer,2024-07-07
CUST000115,Customer 115,Australia,SMB,2025-06-30
CUST000116,Customer 116,Indonesia,SMB,2022-05-12
CUST000117,Customer 117,Malaysia,SMB,2026-08-10
CUST000118,Customer 118,Philippines,SMB,2023-04-18
CUST000119,Customer 119,Malaysia,Enterprise,2024-03-06
CUST000120,Customer 120,Australia,Enterprise,2024-05-19
CUST000121,Customer 121,New Zealand,Consumer,2023-04-19
CUST000122,Customer 122,New Zealand,Consumer,2023-11-16
CUST000123,Customer 123,Philippines,SMB,2025-04-07
CUST000124,Customer 124,Indonesia,Consumer,2022-11-02
CUST000125,Customer 125,Australia,SMB,2023-08-26
CUST000126,Customer 126,New Zealand,Consumer,2022-05-13
CUST000127,Customer 127,Indonesia,Consumer,2025-07-07
CUST000128,Customer 128,Philippines,SMB,2022-09-24
CUST000129,Customer 129,New Zealand,Enterprise,2025-06-30
CUST000130,Customer 130,Indonesia,Enterprise,2024-09-03
CUST000131,Customer 131,India,Consumer,2025-12-08
CUST000132,Customer 132,Australia,SMB,2024-10-10
CUST000133,Customer 133,Malaysia,Enterprise,2026-07-14
CUST000134,Customer 134,Indonesia,Consumer,2024-07-07
CUST000135,Customer 135,Philippines,Consumer,2024-02-24
CUST000136,Customer 136,Indonesia,Consumer,2026-05-18
CUST000137,Customer 137,Australia,SMB,2022-02-26
CUST000138,Customer 138,Malaysia,SMB,2026-05-22
CUST000139,Customer 139,Australia,Enterprise,2025-12-31
CUST000140,Customer 140,Philippines,Consumer,2023-12-09
CUST000141,Customer 141,New Zealand,Consumer,2023-12-04
CUST000142,Customer 142,Australia,SMB,2023-07-25
