order_item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001553,ORD0175530,PROD00978,2,276.37,20.00
ITEM00001554,ORD0446324,PROD00111,5,733.19,0.00
ITEM00001555,ORD0047630,PROD00259,5,1358.37,0.00
ITEM00001556,ORD0139329,PROD00469,5,1734.47,10.00
ITEM00001557,ORD0307254,PROD00544,4,1725.45,5.00
ITEM00001558,ORD0349817,PROD00916,3,823.69,15.00
ITEM00001559,ORD0466043,PROD00522,2,1067.04,0.00
ITEM00001560,ORD0207078,PROD00046,3,1735.24,0.00
ITEM00001561,ORD0360071,PROD00319,3,266.62,10.00
ITEM00001562,ORD0098356,PROD00844,3,1073.24,20.00
ITEM00001563,ORD0038462,PROD00509,1,1910.48,15.00
ITEM00001564,ORD0073768,PROD00959,2,1321.36,5.00
ITEM00001565,ORD0216549,PROD00345,3,1885.52,20.00
ITEM00001566,ORD0183789,PROD00859,4,590.19,10.00
ITEM00001567,ORD0127470,PROD00620,4,1530.13,0.00
ITEM00001568,ORD0108721,PROD00265,5,1722.92,10.00
ITEM00001569,ORD0471507,PROD00267,2,128.56,10.00
ITEM00001570,ORD0203585,PROD00061,4,756.47,20.00
ITEM00001571,ORD0220700,PROD00559,2,564.00,5.00
ITEM00001572,ORD0281158,PROD00537,1,105.77,0.00
ITEM00001573,ORD0049434,PROD00835,2,127.05,20.00
ITEM00001574,ORD0321973,PROD00643,2,58.79,0.00
ITEM00001575,ORD0176838,PROD00259,3,1379.39,5.00
ITEM00001576,ORD0185469,PROD00163,3,632.34,15.00
ITEM00001577,ORD0149189,PROD00064,2,671.37,10.00
ITEM00001578,ORD0456846,PROD00886,5,1200.77,10.00
ITEM00001579,ORD0499096,PROD00027,3,632.04,10.00
ITEM00001580,ORD0468350,PROD00352,5,765.19,20.00
ITEM00001581,ORD0021865,PROD00379,5,867.15,20.00
ITEM00001582,ORD0020724,PROD00670,3,392.24,10.00
ITEM00001583,ORD0196072,PROD00311,4,953.28,15.00
ITEM00001584,ORD0051517,PROD00282,1,529.91,0.00
ITEM00001585,ORD0039991,PROD00437,3,331.73,5.00
ITEM00001586,ORD0240488,PROD00667,5,1311.01,20.00
ITEM00001587,ORD0034184,PROD00291,5,1239.49,10.00
ITEM00001588,ORD0181921,PROD00766,3,234.88,20.00
ITEM00001589,ORD0241451,PROD00063,3,127.58,15.00
ITEM00001590,ORD0203673,PROD00017,1,1927.45,10.00
ITEM00001591,ORD0277891,PROD00230,5,1405.04,5.00
ITEM00001592,ORD0219776,PROD00134,2,973.68,5.00
ITEM00001593,ORD0383901,PROD00425,1,1538.11,10.00
ITEM00001594,ORD0093862,PROD00626,1,1183.84,10.00
ITEM00001595,ORD0383408,PROD00232,4,1297.89,20.00
ITEM00001596,ORD0449993,PROD00436,2,144.35,20.00
ITEM00001597,ORD0047452,PROD00955,3,1059.46,10.00
ITEM00001598,ORD0377575,PROD00318,5,392.75,20.00
ITEM00001599,ORD0320025,PROD00768,5,293.62,0.00
ITEM00001600,ORD0135183,PROD00321,1,281.89,0.00
ITEM00001601,ORD0458472,PROD00388,1,1136.53,5.00
ITEM00001602,ORD0361204,PROD00770,3,1779.05,0.00
ITEM00001603,ORD0056821,PROD00366,2,946.68,0.00
ITEM00001604,ORD0214322,PROD00412,4,1965.09,0.00
ITEM00001605,ORD0311091,PROD00236,4,1162.63,0.00
ITEM00001606,ORD0464576,PROD00854,4,216.35,20.00
ITEM00001607,ORD0026619,PROD00499,4,194.50,0.00
ITEM00001608,ORD0444865,PROD00374,4,141.07,15.00
ITEM00001609,ORD0289185,PROD00720,2,1957.22,5.00
ITEM00001610,ORD0252281,PROD00988,1,881.15,0.00
ITEM00001611,ORD0234140,PROD00872,5,1018.30,20.00
ITEM00001612,ORD0320251,PROD00618,2,1589.81,15.00
ITEM00001613,ORD0497189,PROD00782,2,758.52,10.00
ITEM00001614,ORD0051545,PROD00638,1,223.63,10.00
ITEM00001615,ORD0205170,PROD00366,3,591.68,5.00
ITEM00001616,ORD0220613,PROD00882,4,374.92,5.00
ITEM00001617,ORD0003779,PROD00510,4,572.74,15.00
ITEM00001618,ORD0052333,PROD00681,4,253.03,20.00
ITEM00001619,ORD0016654,PROD00482,2,587.61,10.00
ITEM00001620,ORD0440229,PROD00530,3,1416.01,15.00
ITEM00001621,ORD0268665,PROD00022,2,1583.75,10.00
ITEM00001622,ORD0455801,PROD00302,3,824.54,5.00
ITEM00001623,ORD0135718,PROD00869,5,661.63,15.00
ITEM00001624,ORD0200858,PROD00585,4,1089.83,0.00
ITEM00001625,ORD0227647,PROD00033,1,605.36,0.00
ITEM00001626,ORD0430529,PROD00213,3,783.66,10.00
ITEM00001627,ORD0169872,PROD00408,4,1632.23,5.00
ITEM00001628,ORD0259654,PROD00144,4,374.22,0.00
ITEM00001629,ORD0337145,PROD00228,2,1755.23,20.00
ITEM00001630,ORD0169017,PROD00015,3,376.90,0.00
ITEM00001631,ORD0464193,PROD00241,2,82.49,5.00
ITEM00001632,ORD0163442,PROD00660,5,1148.35,20.00
ITEM00001633,ORD0353671,PROD00965,2,529.28,5.00
ITEM00001634,ORD0355730,PROD00476,4,1882.00,20.00
ITEM00001635,ORD0296603,PROD00386,3,1538.82,5.00
ITEM00001636,ORD0278637,PROD00910,5,475.21,0.00
ITEM00001637,ORD0076076,PROD00807,4,412.85,15.00
ITEM00001638,ORD0069721,PROD00691,3,271.20,0.00
ITEM00001639,ORD0137079,PROD00916,2,1964.91,15.00
ITEM00001640,ORD0470462,PROD00223,3,857.20,0.00
ITEM00001641,ORD0411935,PROD00175,2,1519.29,10.00
ITEM00001642,ORD0099073,PROD00945,2,1252.59,0.00
ITEM00001643,ORD0434976,PROD00462,4,1626.00,15.00
ITEM00001644,ORD0183036,PROD00210,5,1522.48,0.00
ITEM00001645,ORD0392532,PROD00207,5,1838.55,0.00
ITEM00001646,ORD0072308,PROD00333,1,269.37,15.00
ITEM00001647,ORD0073661,PROD00396,3,72.03,0.00
ITEM00001648,ORD0428076,PROD00775,4,1878.51,15.00
ITEM00001649,ORD0438722,PROD00308,3,1854.35,10.00
ITEM00001650,ORD0434935,PROD00027,3,1887.87,20.00
ITEM00001651,ORD0497950,PROD00414,2,522.26,0.00
ITEM00001652,ORD0468322,PROD00745,4,496.70,5.00
ITEM00001653,ORD0239305,PROD00401,1,610.79,10.00
ITEM00001654,ORD0245968,PROD00375,4,828.06,20.00
ITEM00001655,ORD0181384,PROD00880,3,1432.32,10.00
ITEM00001656,ORD0259511,PROD00536,2,121.11,10.00
ITEM00001657,ORD0029045,PROD00867,1,622.14,5.00
ITEM00001658,ORD0226393,PROD00412,3,1971.76,5.00
ITEM00001659,ORD0131028,PROD00814,1,1682.22,5.00
ITEM00001660,ORD0043701,PROD00274,3,725.99,0.00
ITEM00001661,ORD0096773,PROD00556,5,394.64,10.00
ITEM00001662,ORD0195331,PROD00230,5,1356.02,5.00
ITEM00001663,ORD0372753,PROD00215,5,579.90,5.00
ITEM00001664,ORD0324704,PROD00928,2,1954.70,10.00
ITEM00001665,ORD0298260,PROD00150,5,1179.13,20.00
ITEM00001666,ORD0230996,PROD00007,5,838.12,5.00
ITEM00001667,ORD0349868,PROD00767,2,370.68,0.00
ITEM00001668,ORD0188903,PROD00187,3,969.83,5.00
ITEM00001669,ORD0096656,PROD00599,5,52.82,20.00
ITEM00001670,ORD0116709,PROD00707,1,1127.82,15.00
ITEM00001671,ORD0017437,PROD00149,1,1548.09,20.00
ITEM00001672,ORD0343106,PROD00845,4,133.42,0.00
ITEM00001673,ORD0385791,PROD00165,1,1488.52,10.00
ITEM00001674,ORD0462735,PROD00388,3,729.55,10.00
ITEM00001675,ORD0319738,PROD00678,3,242.21,15.00
ITEM00001676,ORD0259264,PROD00180,2,1254.44,20.00
