order_id,customer_id,order_date,order_status,payment_method,sales_channel
ORD0000001,CUST048883,2024-07-06,Cancelled,Debit Card,Partner
ORD0000002,CUST021249,2024-05-08,Cancelled,Bank Transfer,Website
ORD0000003,CUST042789,2026-07-10,Cancelled,Bank Transfer,Mobile App
ORD0000004,CUST048898,2023-09-28,Cancelled,Credit Card,Partner
ORD0000005,CUST033680,2025-07-11,Completed,Credit Card,Partner
ORD0000006,CUST016889,2026-09-16,Cancelled,Digital Wallet,Retail Store
ORD0000007,CUST034812,2025-10-28,Returned,Debit Card,Partner
ORD0000008,CUST033198,2025-06-14,Processing,UPI,Mobile App
ORD0000009,CUST017495,2025-09-16,Completed,Credit Card,Partner
ORD0000010,CUST031753,2024-08-31,Returned,UPI,Retail Store
ORD0000011,CUST043986,2023-10-11,Completed,Digital Wallet,Partner
ORD0000012,CUST042453,2026-04-29,Cancelled,UPI,Retail Store
ORD0000013,CUST026861,2023-12-05,Processing,Bank Transfer,Partner
ORD0000014,CUST026811,2024-11-09,Returned,UPI,Retail Store
ORD0000015,CUST023130,2025-01-28,Completed,Digital Wallet,Retail Store
ORD0000016,CUST042167,2025-01-05,Returned,Credit Card,Retail Store
ORD0000017,CUST020787,2026-05-19,Returned,Bank Transfer,Website
ORD0000018,CUST016442,2025-12-13,Shipped,Debit Card,Mobile App
ORD0000019,CUST007466,2025-01-11,Completed,Credit Card,Retail Store
ORD0000020,CUST025815,2024-11-29,Completed,Digital Wallet,Website
ORD0000021,CUST014288,2024-04-15,Returned,Bank Transfer,Partner
ORD0000022,CUST000528,2025-10-07,Cancelled,Digital Wallet,Partner
ORD0000023,CUST043253,2025-10-12,Completed,Bank Transfer,Partner
ORD0000024,CUST030593,2024-08-25,Returned,UPI,Retail Store
ORD0000025,CUST025292,2024-07-09,Shipped,Debit Card,Retail Store
ORD0000026,CUST017219,2026-07-04,Cancelled,Credit Card,Website
ORD0000027,CUST025904,2024-03-02,Processing,Digital Wallet,Mobile App
ORD0000028,CUST045406,2026-07-02,Completed,Debit Card,Website
ORD0000029,CUST036802,2024-01-04,Processing,Digital Wallet,Mobile App
ORD0000030,CUST017012,2026-07-04,Returned,Debit Card,Website
ORD0000031,CUST023227,2025-01-22,Returned,Credit Card,Website
ORD0000032,CUST011341,2024-10-22,Shipped,Debit Card,Partner
ORD0000033,CUST043327,2026-09-14,Returned,Digital Wallet,Retail Store
ORD0000034,CUST042843,2025-12-29,Processing,Digital Wallet,Retail Store
ORD0000035,CUST040495,2024-12-12,Shipped,Debit Card,Website
ORD0000036,CUST033913,2024-04-05,Returned,UPI,Retail Store
ORD0000037,CUST001100,2026-08-24,Shipped,UPI,Website
ORD0000038,CUST004946,2025-08-03,Cancelled,Bank Transfer,Partner
ORD0000039,CUST005096,2024-03-28,Returned,Digital Wallet,Retail Store
ORD0000040,CUST025244,2024-06-18,Cancelled,Digital Wallet,Retail Store
ORD0000041,CUST040211,2024-06-30,Returned,Credit Card,Retail Store
ORD0000042,CUST004009,2025-12-18,Cancelled,Bank Transfer,Mobile App
ORD0000043,CUST045296,2026-05-23,Cancelled,Credit Card,Website
ORD0000044,CUST021967,2025-09-02,Shipped,Debit Card,Website
ORD0000045,CUST002372,2026-04-15,Returned,Digital Wallet,Retail Store
ORD0000046,CUST004403,2026-06-27,Returned,Digital Wallet,Mobile App
ORD0000047,CUST021055,2024-09-24,Shipped,Debit Card,Website
ORD0000048,CUST040038,2026-09-12,Cancelled,Digital Wallet,Website
ORD0000049,CUST018289,2023-11-14,Processing,Bank Transfer,Partner
ORD0000050,CUST045637,2026-06-05,Completed,Debit Card,Retail Store
ORD0000051,CUST042622,2026-09-10,Shipped,Digital Wallet,Mobile App
ORD0000052,CUST008676,2024-05-29,Completed,Credit Card,Website
ORD0000053,CUST012290,2025-11-27,Shipped,Digital Wallet,Mobile App
ORD0000054,CUST041592,2025-12-05,Completed,Bank Transfer,Mobile App
ORD0000055,CUST022704,2024-04-23,Processing,Debit Card,Mobile App
ORD0000056,CUST041591,2023-10-26,Cancelled,Digital Wallet,Retail Store
ORD0000057,CUST045126,2025-06-23,Cancelled,UPI,Partner
ORD0000058,CUST040495,2024-04-26,Cancelled,Bank Transfer,Website
ORD0000059,CUST015435,2026-02-07,Shipped,Debit Card,Mobile App
ORD0000060,CUST003633,2025-06-23,Returned,Bank Transfer,Website
ORD0000061,CUST019441,2025-06-01,Returned,Credit Card,Mobile App
ORD0000062,CUST045421,2025-05-13,Completed,Debit Card,Retail Store
ORD0000063,CUST024498,2024-11-25,Cancelled,Digital Wallet,Website
ORD0000064,CUST002989,2023-12-20,Cancelled,Debit Card,Website
ORD0000065,CUST007094,2025-09-09,Shipped,Debit Card,Retail Store
ORD0000066,CUST032099,2024-03-26,Cancelled,Debit Card,Retail Store
ORD0000067,CUST005797,2025-12-21,Completed,Credit Card,Mobile App
ORD0000068,CUST004509,2024-06-13,Cancelled,Digital Wallet,Website
ORD0000069,CUST022066,2025-06-08,Returned,Bank Transfer,Retail Store
ORD0000070,CUST003016,2025-07-12,Returned,UPI,Website
ORD0000071,CUST033445,2024-11-04,Shipped,UPI,Retail Store
ORD0000072,CUST039713,2026-04-06,Shipped,Credit Card,Partner
ORD0000073,CUST025501,2024-07-28,Processing,Bank Transfer,Partner
ORD0000074,CUST002411,2025-07-16,Processing,Debit Card,Partner
ORD0000075,CUST004903,2026-08-09,Processing,UPI,Retail Store
ORD0000076,CUST032649,2026-04-27,Shipped,Bank Transfer,Mobile App
ORD0000077,CUST036791,2024-05-07,Cancelled,Credit Card,Mobile App
ORD0000078,CUST004242,2024-05-02,Completed,Credit Card,Mobile App
ORD0000079,CUST040307,2023-09-21,Processing,Digital Wallet,Partner
ORD0000080,CUST007938,2026-01-15,Processing,Credit Card,Website
ORD0000081,CUST032140,2024-07-21,Cancelled,Bank Transfer,Retail Store
ORD0000082,CUST043435,2025-12-10,Completed,Debit Card,Website
ORD0000083,CUST039848,2025-09-06,Shipped,Bank Transfer,Partner
ORD0000084,CUST046902,2024-05-14,Shipped,UPI,Mobile App
ORD0000085,CUST012628,2025-01-07,Shipped,Bank Transfer,Partner
ORD0000086,CUST005646,2025-09-11,Processing,Bank Transfer,Partner
ORD0000087,CUST022556,2024-01-02,Cancelled,Bank Transfer,Retail Store
ORD0000088,CUST047814,2025-02-18,Cancelled,Bank Transfer,Retail Store
ORD0000089,CUST013919,2026-05-18,Processing,UPI,Mobile App
ORD0000090,CUST034080,2026-03-26,Cancelled,Digital Wallet,Retail Store
ORD0000091,CUST028129,2024-05-10,Completed,Credit Card,Website
ORD0000092,CUST039464,2025-01-15,Shipped,Digital Wallet,Mobile App
ORD0000093,CUST006584,2025-04-13,Cancelled,UPI,Retail Store
ORD0000094,CUST048032,2024-10-04,Completed,Debit Card,Partner
ORD0000095,CUST033605,2025-06-19,Processing,UPI,Mobile App
ORD0000096,CUST018926,2023-10-22,Cancelled,Debit Card,Retail Store
ORD0000097,CUST025604,2025-01-25,Returned,Credit Card,Website
ORD0000098,CUST032927,2024-12-21,Completed,Digital Wallet,Website
ORD0000099,CUST029711,2024-12-15,Processing,Credit Card,Retail Store
ORD0000100,CUST015621,2023-12-28,Cancelled,Debit Card,Retail Store
ORD0000101,CUST010876,2026-06-15,Shipped,Digital Wallet,Mobile App
ORD0000102,CUST034113,2024-12-03,Completed,Digital Wallet,Website
ORD0000103,CUST002697,2024-06-10,Cancelled,Debit Card,Website
ORD0000104,CUST039516,2025-12-07,Cancelled,UPI,Partner
ORD0000105,CUST020739,2023-12-27,Completed,UPI,Website
ORD0000106,CUST044520,2024-06-13,Completed,Bank Transfer,Partner
ORD0000107,CUST017902,2023-12-07,Shipped,UPI,Website
ORD0000108,CUST020524,2024-01-13,Completed,UPI,Mobile App
ORD0000109,CUST006155,2024-12-12,Completed,Credit Card,Partner
ORD0000110,CUST049483,2024-01-02,Returned,Digital Wallet,Retail Store
ORD0000111,CUST043211,2024-05-22,Processing,Debit Card,Website
ORD0000112,CUST017875,2024-01-13,Processing,Bank Transfer,Mobile App
ORD0000113,CUST024918,2026-06-27,Processing,UPI,Retail Store
ORD0000114,CUST030887,2026-02-21,Shipped,Credit Card,Mobile App
ORD0000115,CUST047687,2025-01-03,Processing,Bank Transfer,Partner
ORD0000116,CUST047381,2024-12-13,Shipped,Credit Card,Partner
ORD0000117,CUST015579,2025-06-30,Shipped,Bank Transfer,Retail Store
ORD0000118,CUST013923,2024-01-01,Returned,Digital Wallet,Retail Store
ORD0000119,CUST000853,2025-08-03,Shipped,Bank Transfer,Mobile App
ORD0000120,CUST035851,2025-12-25,Cancelled,Digital Wallet,Mobile App
ORD0000121,CUST025911,2025-09-03,Cancelled,Debit Card,Retail Store
ORD0000122,CUST032323,2024-09-12,Cancelled,UPI,Website
