product_id,product_name,product_category,product_family,launch_date
PROD00001,Product 1,Laptop,Consumer,2023-04-13
PROD00002,Product 2,Printer,Gaming,2022-12-23
PROD00003,Product 3,Monitor,Gaming,2024-11-19
PROD00004,Product 4,Desktop,Consumer,2024-06-05
PROD00005,Product 5,Desktop,Gaming,2024-07-16
PROD00006,Product 6,Desktop,Gaming,2026-06-18
PROD00007,Product 7,Monitor,Premium,2023-12-14
PROD00008,Product 8,Printer,Gaming,2022-07-18
PROD00009,Product 9,Monitor,Consumer,2025-03-24
PROD00010,Product 10,Printer,Business,2022-12-20
PROD00011,Product 11,Desktop,Consumer,2026-02-08
PROD00012,Product 12,Desktop,Business,2024-08-24
PROD00013,Product 13,Accessory,Premium,2022-05-15
PROD00014,Product 14,Monitor,Consumer,2023-08-15
PROD00015,Product 15,Accessory,Business,2025-03-18
PROD00016,Product 16,Desktop,Premium,2022-10-10
PROD00017,Product 17,Accessory,Business,2024-02-08
PROD00018,Product 18,Laptop,Consumer,2025-04-07
PROD00019,Product 19,Laptop,Business,2021-11-11
PROD00020,Product 20,Printer,Business,2025-10-12
PROD00021,Product 21,Desktop,Premium,2023-05-13
PROD00022,Product 22,Accessory,Consumer,2025-04-25
PROD00023,Product 23,Laptop,Gaming,2023-02-20
PROD00024,Product 24,Printer,Consumer,2025-05-19
PROD00025,Product 25,Laptop,Premium,2025-08-30
PROD00026,Product 26,Desktop,Premium,2025-06-02
PROD00027,Product 27,Desktop,Gaming,2024-10-02
PROD00028,Product 28,Accessory,Premium,2023-08-22
PROD00029,Product 29,Laptop,Premium,2023-02-28
PROD00030,Product 30,Monitor,Consumer,2025-01-10
PROD00031,Product 31,Accessory,Gaming,2025-03-09
PROD00032,Product 32,Monitor,Business,2025-07-13
PROD00033,Product 33,Printer,Consumer,2025-04-08
PROD00034,Product 34,Accessory,Premium,2023-12-20
PROD00035,Product 35,Monitor,Gaming,2023-02-05
PROD00036,Product 36,Printer,Gaming,2024-06-14
PROD00037,Product 37,Laptop,Business,2023-04-03
PROD00038,Product 38,Laptop,Premium,2022-02-07
PROD00039,Product 39,Desktop,Premium,2023-09-09
PROD00040,Product 40,Monitor,Business,2021-12-16
PROD00041,Product 41,Desktop,Gaming,2024-04-09
PROD00042,Product 42,Accessory,Premium,2022-06-12
PROD00043,Product 43,Accessory,Premium,2025-10-18
PROD00044,Product 44,Printer,Premium,2022-03-17
PROD00045,Product 45,Desktop,Gaming,2023-04-28
PROD00046,Product 46,Monitor,Premium,2026-08-07
PROD00047,Product 47,Printer,Gaming,2025-08-04
PROD00048,Product 48,Accessory,Gaming,2022-01-13
PROD00049,Product 49,Monitor,Consumer,2026-03-16
PROD00050,Product 50,Laptop,Gaming,2024-02-17
PROD00051,Product 51,Desktop,Business,2024-09-27
PROD00052,Product 52,Desktop,Business,2025-08-11
PROD00053,Product 53,Accessory,Consumer,2024-08-03
PROD00054,Product 54,Monitor,Gaming,2026-06-07
PROD00055,Product 55,Accessory,Business,2025-09-30
PROD00056,Product 56,Accessory,Gaming,2023-04-24
PROD00057,Product 57,Monitor,Consumer,2022-08-18
PROD00058,Product 58,Accessory,Premium,2026-02-20
PROD00059,Product 59,Monitor,Premium,2023-07-05
PROD00060,Product 60,Monitor,Consumer,2023-09-24
PROD00061,Product 61,Accessory,Premium,2025-01-04
PROD00062,Product 62,Monitor,Premium,2022-10-26
PROD00063,Product 63,Monitor,Premium,2026-08-24
PROD00064,Product 64,Monitor,Gaming,2025-11-28
PROD00065,Product 65,Desktop,Business,2025-11-23
PROD00066,Product 66,Monitor,Business,2024-10-12
PROD00067,Product 67,Printer,Business,2025-04-03
PROD00068,Product 68,Accessory,Business,2024-03-26
PROD00069,Product 69,Accessory,Business,2023-08-05
PROD00070,Product 70,Laptop,Business,2021-11-23
PROD00071,Product 71,Desktop,Gaming,2024-11-03
PROD00072,Product 72,Accessory,Business,2026-07-23
PROD00073,Product 73,Desktop,Gaming,2023-03-26
PROD00074,Product 74,Accessory,Gaming,2022-07-20
PROD00075,Product 75,Monitor,Consumer,2026-01-24
PROD00076,Product 76,Accessory,Business,2026-07-31
PROD00077,Product 77,Laptop,Consumer,2024-08-09
PROD00078,Product 78,Desktop,Premium,2023-07-14
PROD00079,Product 79,Laptop,Business,2023-06-22
PROD00080,Product 80,Laptop,Consumer,2021-12-13
PROD00081,Product 81,Monitor,Gaming,2023-06-24
PROD00082,Product 82,Accessory,Gaming,2024-03-14
PROD00083,Product 83,Desktop,Consumer,2026-08-25
PROD00084,Product 84,Accessory,Business,2026-08-03
PROD00085,Product 85,Accessory,Business,2023-01-16
PROD00086,Product 86,Printer,Business,2023-09-17
PROD00087,Product 87,Printer,Consumer,2025-06-22
PROD00088,Product 88,Laptop,Premium,2022-05-29
PROD00089,Product 89,Accessory,Consumer,2024-03-20
PROD00090,Product 90,Monitor,Premium,2023-04-29
PROD00091,Product 91,Monitor,Consumer,2025-03-09
PROD00092,Product 92,Accessory,Premium,2023-11-28
PROD00093,Product 93,Monitor,Business,2021-11-23
PROD00094,Product 94,Laptop,Premium,2024-09-04
PROD00095,Product 95,Printer,Gaming,2023-02-03
PROD00096,Product 96,Accessory,Business,2023-01-19
PROD00097,Product 97,Laptop,Gaming,2023-08-12
PROD00098,Product 98,Laptop,Premium,2021-12-02
PROD00099,Product 99,Desktop,Gaming,2025-03-28
PROD00100,Product 100,Laptop,Consumer,2025-06-15
PROD00101,Product 101,Desktop,Consumer,2023-10-16
PROD00102,Product 102,Printer,Consumer,2022-12-31
PROD00103,Product 103,Desktop,Premium,2025-12-02
PROD00104,Product 104,Printer,Consumer,2022-07-21
PROD00105,Product 105,Monitor,Gaming,2022-06-26
PROD00106,Product 106,Monitor,Consumer,2026-02-27
PROD00107,Product 107,Accessory,Gaming,2024-05-16
PROD00108,Product 108,Laptop,Gaming,2021-11-26
PROD00109,Product 109,Monitor,Business,2022-02-28
