ticket_id,customer_id,created_date,country,product_category,issue_type,priority,support_channel,agent_id,status,resolution_hours,sla_target_hours,customer_satisfaction
1,23670,2025-01-16 21:55:53.387968,India,Monitor,Setup,Medium,WhatsApp,158,In Progress,55.54,4,4
2,23394,2026-07-04 11:55:53.387968,Australia,Printer,Setup,Low,Chat,395,Closed,35.07,4,4
3,45865,2025-08-06 02:55:53.387968,Singapore,Laptop,Setup,High,Chat,249,Open,43.70,8,1
4,40491,2025-04-08 04:55:53.387968,Singapore,Printer,Hardware Issue,Low,Chat,469,Resolved,17.60,24,1
5,3548,2026-04-04 04:55:53.387968,Philippines,Desktop,Performance,Low,Web,459,Open,23.37,24,4
6,2915,2025-11-16 13:55:53.387968,Indonesia,Desktop,Software Issue,Low,WhatsApp,448,Open,75.92,48,5
7,5333,2024-09-19 23:55:53.387968,Malaysia,Accessory,Hardware Issue,Critical,Chat,135,In Progress,93.07,24,5
8,20452,2026-04-09 12:55:53.387968,India,Desktop,Billing,High,WhatsApp,445,In Progress,26.04,4,5
9,32391,2024-11-08 02:55:53.387968,India,Accessory,Billing,Low,Email,323,In Progress,40.59,4,4
10,36177,2025-06-06 17:55:53.387968,Malaysia,Printer,Hardware Issue,High,Phone,443,In Progress,62.30,8,2
11,24363,2025-12-03 05:55:53.387968,India,Accessory,Connectivity,High,Web,216,Resolved,56.30,8,2
12,16381,2025-08-04 05:55:53.387968,Singapore,Accessory,Setup,High,Chat,457,Closed,23.25,8,1
13,8769,2026-09-11 19:55:53.387968,Indonesia,Printer,Billing,High,Chat,99,Resolved,13.96,48,3
14,22907,2025-11-12 19:55:53.387968,Singapore,Printer,Software Issue,Medium,Chat,405,Open,35.83,24,1
15,43543,2025-06-08 14:55:53.387968,India,Printer,Setup,High,WhatsApp,289,Resolved,25.44,24,5
16,47662,2025-05-09 05:55:53.387968,Australia,Desktop,Billing,Medium,Email,45,Open,91.16,24,1
17,11136,2025-06-18 03:55:53.387968,Indonesia,Printer,Billing,High,WhatsApp,264,Open,86.90,48,3
18,26230,2024-10-11 11:55:53.387968,Philippines,Accessory,Software Issue,Critical,Web,148,Open,8.32,24,4
19,5491,2026-01-02 23:55:53.387968,Indonesia,Accessory,Setup,Medium,WhatsApp,431,In Progress,59.41,8,5
20,46411,2026-07-27 17:55:53.387968,Singapore,Printer,Billing,High,Web,15,Closed,83.50,8,2
21,1287,2026-07-17 17:55:53.387968,India,Printer,Connectivity,High,Web,242,Open,22.00,48,2
22,22167,2026-03-30 16:55:53.387968,India,Accessory,Performance,Medium,WhatsApp,44,Closed,30.88,4,2
23,45882,2026-04-29 13:55:53.387968,Malaysia,Monitor,Billing,Critical,Web,207,In Progress,6.77,8,3
24,30385,2026-09-04 02:55:53.387968,Singapore,Monitor,Hardware Issue,Medium,Chat,448,Closed,1.11,48,5
25,34540,2025-04-14 07:55:53.387968,Australia,Printer,Software Issue,Critical,Web,20,Resolved,56.73,24,5
26,19983,2025-03-19 00:55:53.387968,Indonesia,Monitor,Setup,Low,WhatsApp,490,Resolved,54.33,24,2
27,32617,2025-09-06 23:55:53.387968,Indonesia,Accessory,Billing,Medium,Phone,279,Closed,40.17,48,5
28,42762,2026-02-08 05:55:53.387968,Malaysia,Monitor,Software Issue,High,Email,187,Closed,67.23,4,5
29,25934,2025-01-16 15:55:53.387968,India,Printer,Setup,Critical,Email,183,Closed,29.95,4,4
30,25112,2025-05-27 00:55:53.387968,Philippines,Laptop,Setup,Low,Email,457,Closed,72.90,48,5
31,39941,2025-11-10 17:55:53.387968,Philippines,Desktop,Setup,Medium,Phone,142,Closed,94.54,48,1
32,38691,2024-11-04 05:55:53.387968,Philippines,Accessory,Billing,Low,Web,28,Resolved,88.92,8,5
33,18856,2024-12-26 20:55:53.387968,Australia,Desktop,Hardware Issue,Critical,Email,77,In Progress,90.54,8,4
34,21496,2026-07-02 22:55:53.387968,Singapore,Monitor,Setup,Low,Chat,275,In Progress,88.87,48,4
35,4338,2025-09-04 01:55:53.387968,Singapore,Accessory,Billing,High,Chat,281,Resolved,51.63,48,4
36,2748,2025-12-21 21:55:53.387968,Australia,Accessory,Connectivity,Critical,Chat,251,Resolved,75.83,4,2
37,42729,2026-05-18 19:55:53.387968,Australia,Accessory,Performance,High,WhatsApp,20,Open,90.60,48,4
38,12034,2026-07-21 06:55:53.387968,New Zealand,Accessory,Software Issue,Medium,Email,68,Open,29.47,4,5
39,3615,2026-04-23 23:55:53.387968,Indonesia,Accessory,Billing,Low,Phone,384,Closed,11.02,4,1
40,46867,2026-04-06 00:55:53.387968,India,Monitor,Performance,Low,Chat,137,Resolved,11.38,24,2
41,8320,2025-10-06 00:55:53.387968,Indonesia,Monitor,Software Issue,Medium,WhatsApp,240,In Progress,72.66,8,5
42,132,2026-06-04 16:55:53.387968,Singapore,Desktop,Hardware Issue,Medium,Phone,171,Open,66.74,48,3
43,38921,2025-05-23 17:55:53.387968,Australia,Printer,Hardware Issue,Medium,Email,327,In Progress,28.65,24,1
